Produit;Module;Objet;Fonction;Fichier source;Ligne;Type;Date;Heure;Durée;Message
AstroTargetSelector;AstroTargetSelector;MainFenetre;comboBoxMinuteIntervalle_SelectedIndexChanged;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;796;INFOS;27/07/2022;22:13:11.2533;;Modification des minutes par intervalle : 5
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationComboMinuteIntervalle;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;193;INFOS;27/07/2022;22:13:11.3016;;Chargement de 4 Intervalles et sélection de l'élément : 5
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationComboTotalTimeSlice;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;202;INFOS;27/07/2022;22:13:11.3016;;Chargement de la comboBoxTotalTimeSlice
AstroTargetSelector;AstroTargetSelector;MainFenetre;comboBoxTotalTimeSlice_SelectedIndexChanged;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;808;INFOS;27/07/2022;22:13:11.3016;;Modification de la durée d'observation : 2
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationComboTotalTimeSlice;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;217;INFOS;27/07/2022;22:13:11.3329;;Chargement de 3 Durées et sélection de l'élément : 2
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationComboFiltreRank;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;226;INFOS;27/07/2022;22:13:11.3329;;Chargement de la comboBoxFiltreRank
AstroTargetSelector;AstroTargetSelector;MainFenetre;comboBoxFiltreRank_SelectedIndexChanged;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;832;INFOS;27/07/2022;22:13:11.3485;;Modification du Filtre Rank : Tous
AstroTargetSelector;AstroTargetSelectorBusiness;ObjTargetList;ChargementListe;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelectorBusiness\Business\ObjTargetList.cs;84;INFOS;27/07/2022;22:13:11.3641;;Rechargement de la liste des targets depuis le fichier de configuration
AstroTargetSelector;AstroTargetSelectorBusiness;ObjTargetList;ChargementListe;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelectorBusiness\Business\ObjTargetList.cs;97;INFOS;27/07/2022;22:13:11.4044;;Fichier de configuration contenant la liste des objets céleste : C:\Users\miste\AppData\Roaming\AstrAuDobson\AstroTargetSelector\1.0.0.0\TargetListe.csv
AstroTargetSelector;AstroTargetSelectorBusiness;ObjTargetList;ChargementListe;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelectorBusiness\Business\ObjTargetList.cs;138;INFOS;27/07/2022;22:13:11.4513;92;Chargement de 3 targets en 92 ms
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationComboFiltreRank;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;241;INFOS;27/07/2022;22:13:11.4891;;Chargement de 6 Filtre de Rank et sélection de l'élément : Tous
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationComboFiltreMagnitude;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;250;INFOS;27/07/2022;22:13:11.4891;;Chargement de la comboBoxFiltreMagnitude
AstroTargetSelector;AstroTargetSelector;MainFenetre;comboBoxFiltreMagnitude_SelectedIndexChanged;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;844;INFOS;27/07/2022;22:13:11.5203;;Modification du Filtre Magnitude : Tous
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationComboFiltreMagnitude;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;265;INFOS;27/07/2022;22:13:11.5203;;Chargement de 7 Filtre de Magnitude et sélection de l'élément : Tous
AstroTargetSelector;AstroTargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;152;INFOS;27/07/2022;22:13:11.5203;517;Fonction InitialisationFormulaire FIN
AstroTargetSelector;AstroTargetSelector;MainFenetre;RechargeListeTarget;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;327;INFOS;27/07/2022;22:13:11.5203;;Chargement de la liste des targets
