Produit;Objet;Fonction;Fichier source;Ligne;Type;Date;Heure;Durée;Message
TargetSelector;AppToolLog;Initialise;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\ApplicationTools\Classes\AppToolLog.cs;87;INFOS;13/07/2022;22:38:29.4323;3;Initialisation de l'objet de log
TargetSelector;AppToolLog;Initialise;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\ApplicationTools\Classes\AppToolLog.cs;88;INFOS;13/07/2022;22:38:29.4333;13;ProductName : TargetSelector
TargetSelector;AppToolLog;Initialise;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\ApplicationTools\Classes\AppToolLog.cs;89;INFOS;13/07/2022;22:38:29.4343;14;StartupPath : C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\bin\Debug
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\MainFenetre.cs;44;INFOS;13/07/2022;22:38:29.4363;;Fonction InitialisationFormulaire DEBUT
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\MainFenetre.cs;45;INFOS;13/07/2022;22:38:29.4393;;Application : C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\bin\Debug\TargetSelector.exe
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\MainFenetre.cs;46;INFOS;13/07/2022;22:38:29.4483;;Version : 1.0.0.0
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\MainFenetre.cs;47;INFOS;13/07/2022;22:38:29.4953;;Répertoire UserAppDataPath : C:\Users\miste\AppData\Roaming\TargetSelector\TargetSelector\1.0.0.0
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\MainFenetre.cs;48;INFOS;13/07/2022;22:38:29.4963;;Répertoire StartupPath : C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\bin\Debug
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\TargetSelector\MainFenetre.cs;51;INFOS;13/07/2022;22:38:29.4973;78;Fonction InitialisationFormulaire FIN
