Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
NGC 4388	Galaxie	PGC 40581	12,4294722222222	12,6645	11,02	0,062116667	0,019883334	La Vierge	NGC
NGC 4438	Galaxie	Galaxie des Yeux	12,4624861111111	13,0110555555556	10,17	0,045283334	0,02445	La Vierge	NGC
NGC 4526	Galaxie	Galaxie perdue	12,5673222222222	7,70122222222222	10,16	0,07816667	0,033616667	La Vierge	NGC
NGC 4535	Galaxie	Galaxie perdue de Copeland	12,572125	8,19988888888889	9,73	0,0973334	0,0486667	La Vierge	NGC
NGC 4567	Galaxie	Frères Siamois	12,6089	11,26025	11,31	0,06195	0,03655	La Vierge	NGC
NGC 4699	Galaxie	Galaxie du Disque Vinyle	12,8171083333333	-8,66355555555556	11,51	0,04205	0,0328	La Vierge	NGC
NGC 4762	Galaxie	Paper-Kite Galaxy	12,882075	11,2331944444444	10,27	0,0853334	0,022183334	La Vierge	NGC
NGC 5746	Galaxie	Galaxie de la Lame et de la Perle	14,7489055555556	1,95641666666667	15,77	0,095383334	0,0248	La Vierge	NGC
IC 1848	Amas d’étoiles ouvert	Nébuleuse de l’Âme – SH2-199	2,851975	60,4989444444445	6,5	0,6667	0,16667	Cassiopée	IC
IC 1805	Amas associé à une nébulosité	Nébuleuse du Coeur – SH2-190	2,54523888888889	61,4465277777778	6,5	1	1	Cassiopée	IC
IC 434	Région HII	Barnard 33 – Nébuleuse de la Tête de Cheval	5,67983333333333	-2,48597222222222	7,3	1	0,16667	Orion	IC
NGC 7023	Amas associé à une nébulosité	Nébuleuse de l’Iris – Caldwell 4	21,0278416666667	68,165	6,8	0,16667	0,13334	Céphée	NGC
NGC 6888	Nébuleuse en émission	Nébuleuse du Croissant – Caldwell 27 – SH2-105	20,2023444444444	38,3578333333333	7,4	0,3334	0,16667	Le Cygne	NGC
NGC 7635	Région HII	Nébuleuse de la Bulle – Caldwell 11 – SH2-162	23,3474194444444	61,2007777777778	10	0,25	0,13334	Cassiopée	NGC
SH2-101	Région HII	Nébuleuse de la Tulipe	19,9989861111111	35,2799444444444	9	0,3334	0,25	Le Cygne	Sharpless
IC 1396	Amas associé à une nébulosité	Nébuleuse de la Trompe d’éléphant – SH2-131	21,6506583333333	57,4911944444444	3,5	0,2	0,06667	Céphée	IC
NGC 7380	Amas associé à une nébulosité	Nébuleuse du Sorcier – SH2-142	22,7897805555556	58,1318611111111	7,2	0,416667	0,3334	Céphée	NGC
IC 5146	Amas associé à une nébulosité	Nébuleuse du Cocon – Caldwell 19 – SH2-125	21,8905222222222	47,2681944444445	7,2	0,2	0,2	Le Cygne	IC
