Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
M 35	Amas d’étoiles ouvert	Shoe-Buckle Cluster – NGC 2168	6,15	24,34	5,1	0,42	0,42	Les Gémeaux	Messier
M 36	Amas d’étoiles ouvert	Amas du Moulinet – NGC 1960	5,6	34,14	6	0,17	0,17	Le Cocher	Messier
M 37	Amas d’étoiles ouvert	Amas Sel-et-Poivre de Janvier – NGC 2099	5,87	32,55	5,6	0,25	0,25	Le Cocher	Messier
M 38	Amas d’étoiles ouvert	Amas de l’Etoile de mer – NGC 1912	5,48	35,86	6,4	0,25	0,25	Le Cocher	Messier
M 39	Amas d’étoiles ouvert	NGC 7092	21,53	48,44	4,6	0,52	0,52	Le Cygne	Messier
M 40	Etoile	Winnecke 4	12,37	58,08	9,65	0	0	La Grande Ours	Messier
M 41	Amas d’étoiles ouvert	Amas du petit Rucher – NGC 2287	6,77	-19,25	4,5	0,65	0,65	Le Grand Chien	Messier
M 42	Région HII	Grande Nébuleuse d’Orion – NGC 1976	5,59	-4,61	4	1,5	1	Orion	Messier
M 43	Région HII	Nébuleuse de la Mairan – NGC 1982	5,59	-4,61	9	0,33	0,25	Orion	Messier
M 44	Amas d’étoiles ouvert	Amas de la Crèche – NGC 2632	8,67	19,67	3,1	1,17	1,17	Le Cancer	Messier
M 45	Amas associé à une nébulosité	Pléiades	3,76	24,37	1,2	1,83	1,83	Le Taureau	Messier
M 46	Amas d’étoiles ouvert	NGC 2437	7,7	-13,19	6,1	0,33	0,33	La Poupe	Messier
M 47	Amas d’étoiles ouvert	NGC 2422	7,61	-13,52	4,4	0,42	0,42	La Poupe	Messier
M 48	Amas d’étoiles ouvert	Amas de la Crèche – NGC 2548	8,23	-4,25	5,8	0,5	0,5	L’Hydre	Messier
M 49	Galaxie	NGC 4472	12,5	8	8,3	0,17	0,14	La Vierge	Messier
