Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
M 46	Amas d’étoiles ouvert	NGC 2437	7.69633333333333	-14.81	6,1	0,33	0,33	La Poupe	Messier
M 47	Amas d’étoiles ouvert	NGC 2422	7.60972222222222	-14.4797222222222	4,4	0,42	0,42	La Poupe	Messier
M 48	Amas d’étoiles ouvert	Amas de la Crèche – NGC 2548	8.22863888888889	-5.75055555555556	5,8	0,5	0,5	L’Hydre	Messier
M 49	Galaxie	NGC 4472	12.4963055555556	8	8,3	0,17	0,14	La Vierge	Messier
M 50	Amas d’étoiles ouvert	Amas en forme de Coeur – NGC 2323	7.04661111111111	-8.37583333333333	5,9	0,25	0,25	La Licorne	Messier
M 51	Galaxie	Galaxie du Tourbillon – NGC 5194	13.4979444444444	47.1955555555556	8,1	0,19	0,12	Les Chiens de Chasse	Messier
M 52	Amas d’étoiles ouvert	Amas Sel-et-Poivre de Cassiopée – NGC 7654	23.4133333333333	61.6	6,9	0,27	0,27	Cassiopée	Messier
M 53	Amas d’étoiles ouvert	NGC 5024	13.2153611111111	18.1697222222222	7,7	0,22	0,22	La Chevelure de Bérénice	Messier
M 54	Amas d’étoiles globulaire	NGC 6715	18.9175833333333	-30.4777777777778	7,7	0,2	0,2	Le Sagittaire	Messier
M 55	Amas d’étoiles globulaire	Amas du Spectre – NGC 6809	19.6665	-30.9616666666667	7,42	0,32	0,32	Le Sagittaire	Messier
M 56	Amas d’étoiles globulaire	NGC 6779	19.2765277777778	30.1852777777778	8,4	0,15	0,15	La Lyre	Messier
M 57	Nébuleuse planétaire	Nébuleuse de l’Anneau – NGC 6720	18.8930833333333	33.0297222222222	8,8	0,06	0,04	La Lyre	Messier
M 58	Galaxie	NGC 4579	12.6288055555556	11.8183333333333	9,66	0,1	0,08	La Vierge	Messier
M 59	Galaxie	NGC 4621	12.7006111111111	11.6472222222222	10,6	0,09	0,06	La Vierge	Messier
M 60	Galaxie	NGC 4649	12.7277222222222	11.5530555555556	9,8	0,12	0,1	La Vierge	Messier
M 61	Galaxie	Galaxie spirale de l’Enflure – NGC 4303	12.36525	4.47277777777778	9,65	0,11	0,1	La Vierge	Messier
M 62	Amas d’étoiles globulaire	Amas globulaire vacillant – NGC 6266	17.0201666666667	-30.1116666666667	7,39	0,25	0,25	Ophiuchus	Messier
M 63	Galaxie	Galaxie du Tournesol – NGC 5055	13.2636111111111	42.0330555555556	8,59	0,21	0,12	Les Chiens de Chasse	Messier
M 64	Galaxie	Black Eye Galaxy – NGC 4826	12.9455	21.6830555555556	8,52	0,18	0,09	La Chevelure de Bérénice	Messier
M 65	Galaxie	Triplet du Lion – NGC 3623	11.3154444444444	13.0908333333333	10,25	0,15	0,04	Le Lion	Messier
M 66	Galaxie	Triplet du Lion – NGC 3627	11.3375277777778	12.99	8,92	0,15	0,07	Le Lion	Messier
M 67	Amas d’étoiles ouvert	Golden-Eye Cluster – NGC 2682	8.855	11.8166666666667	6,9	0,42	0,42	Le Cancer	Messier
